Fecha;PM2.5(µg/m³);Xileno(µg/m³);SO2(µg/m³);CO(mg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);Ozono(µg/m³);Tolueno(µg/m³);Benceno(µg/m³);Ruido(dBA)
2014-01-08;13;;4;0.5;76;68;25;184;17;;;61
2014-01-12;18;;3;0.4;26;55;36;95;10;;;61
2014-01-13;10;;3;0.3;30;55;20;101;17;;;61
2014-01-15;7;;3;0.3;43;47;14;112;20;;;60
2014-01-18;8;;3;0.4;29;58;15;103;17;;;61
2014-01-21;6;;2;0.4;32;52;13;102;28;;;59
2014-01-22;8;;4;0.4;70;65;16;173;13;;;62
2014-01-28;5;;2;0.3;12;27;11;46;49;;;59
2014-01-30;5;;1;0.3;32;55;11;105;31;;;59
2014-02-01;4;;0;0.0;16;35;20;59;52;;;59
2014-02-03;4;;0;0.2;29;47;23;91;49;;;59
2014-02-05;5;;0;0.1;23;46;21;81;57;;;59
2014-02-06;7;;2;0.2;52;69;14;149;44;;;59
2014-02-07;4;;1;0.1;13;29;21;50;68;;;60
2014-02-08;5;;0;0.0;6;17;27;26;76;;;60
2014-02-14;3;;;0.0;21;34;9;67;45;;;60
2014-02-16;4;;;0.0;15;44;5;68;38;;;61
2014-02-21;4;;;0.1;26;50;7;89;45;;;59
2014-02-26;5;;4;0.1;22;48;11;81;53;;;60
2014-02-27;4;;5;0.2;31;60;8;108;37;;;59
2014-02-28;5;;4;0.1;15;37;21;60;57;;;61
2014-03-03;3;;2;0.0;7;20;15;30;79;;;61
2014-03-11;11;;11;0.2;32;68;19;118;58;;;59
2014-03-12;16;;10;0.1;11;51;18;68;67;;;63
2014-03-14;21;;12;0.3;62;83;29;177;44;;;63
2014-03-15;30;;22;0.4;56;94;45;179;48;;;62
2014-03-21;21;;14;0.2;30;70;27;115;46;;;62
2014-03-26;2;;1;0.1;10;31;5;47;75;;;58
2014-03-28;6;5.9;7;0.2;19;45;11;75;49;10.3;2.9;60
2014-03-31;14;7.7;11;0.4;36;56;19;112;39;13.9;4.4;61
2014-04-02;15;7.1;8;0.3;19;58;22;87;38;11.1;3.2;62
2014-04-06;3;11.7;3;0.1;10;39;5;54;;1.9;2.6;57
2014-04-15;12;;8;0.3;34;68;19;121;54;;;59
2014-04-18;11;;6;0.2;7;47;16;58;61;;;59
2014-04-21;4;;4;0.2;6;29;5;38;65;;;58
2014-04-26;3;0.2;1;;8;25;8;37;62;0.0;0.3;58
2014-04-29;5;1.2;2;;30;59;10;105;43;0.4;1.0;58
2014-05-04;4;;2;0.1;7;34;8;45;73;;;57
2014-05-07;9;;1;0.1;21;49;13;82;65;;;60
2014-05-11;6;;1;0.0;5;30;11;37;77;;;59
2014-05-12;6;;0;0.0;16;37;10;62;64;;;60
2014-05-16;5;;1;0.1;14;53;9;76;75;;;59
2014-05-18;5;;2;0.1;5;39;8;47;89;;;56
2014-05-19;7;;1;0.1;19;59;16;88;74;;;58
2014-05-23;4;;5;0.3;17;50;15;76;59;;;58
2014-05-26;7;0.8;;0.2;18;46;10;74;61;3.2;0.6;60
2014-05-27;5;0.7;;0.2;15;43;8;66;63;3.7;0.6;59
2014-05-30;6;0.8;;0.2;17;50;10;77;54;3.9;0.6;61
2014-06-03;9;1.1;;0.3;19;52;14;82;77;3.7;0.6;59
2014-06-05;7;0.7;;0.3;12;32;12;51;72;2.6;0.4;60
2014-06-06;10;0.8;;0.2;16;43;13;68;60;2.6;0.5;61
2014-06-11;7;0.0;2;0.2;28;79;14;123;40;5.2;0.9;58
2014-06-12;7;0.8;4;0.3;31;92;16;139;36;5.2;1.1;58
2014-06-14;9;0.8;8;0.2;13;55;16;76;67;3.2;0.9;58
2014-06-22;9;;2;0.2;7;40;12;50;54;;;59
2014-06-24;4;0.1;3;0.2;15;55;6;79;46;3.1;0.7;61
2014-06-25;5;2.0;3;0.2;22;67;8;101;33;4.3;0.8;60
2014-06-28;8;0.5;2;0.1;9;43;11;57;65;1.7;0.3;59
2014-06-29;6;0.6;2;0.2;7;30;9;40;52;1.9;0.2;58
2014-07-02;8;0.7;4;0.2;8;30;13;41;64;3.7;0.3;60
2014-07-07;5;0.7;4;0.2;19;41;11;69;48;2.3;0.3;59
2014-07-09;5;0.1;5;0.1;22;54;9;87;40;2.8;1.1;59
2014-07-12;5;;5;0.1;15;40;9;63;41;;;59
2014-07-13;6;;7;0.1;7;27;8;38;45;;;58
2014-07-17;6;;3;0.1;21;49;10;82;38;;;60
2014-07-18;7;;4;0.0;10;32;11;48;49;;;61
2014-07-19;10;;5;0.1;12;51;16;69;39;;;59
2014-07-21;4;;5;0.1;21;51;10;83;42;;;57
2014-07-22;4;;3;0.0;23;49;10;85;45;;;58
2014-07-24;5;;2;0.0;13;34;10;54;51;;;60
2014-07-26;5;;;;6;30;8;39;73;;;58
2014-07-28;9;;;;15;42;14;64;55;;;60
2014-07-29;7;;;0.1;18;46;13;74;38;;;59
2014-07-30;4;;1;0.1;17;47;12;73;39;;;59
2014-08-02;11;0.0;3;0.1;5;35;19;44;61;0.9;0.7;58
2014-08-08;7;0.0;3;0.1;9;33;11;47;51;1.1;0.5;60
2014-08-11;13;0.0;2;0.2;8;31;18;44;40;0.8;0.4;60
2014-08-12;10;0.0;5;0.2;11;31;15;47;46;0.5;0.3;59
2014-08-19;8;0.0;6;0.3;11;37;16;55;50;1.2;0.4;60
2014-08-22;11;0.0;2;0.3;10;32;16;46;48;0.5;0.3;59
2014-08-24;7;0.0;2;0.4;4;24;12;30;54;0.4;0.2;58
2014-08-26;9;0.4;5;0.4;24;56;28;93;45;1.5;0.6;59
2014-08-29;11;;2;0.3;8;27;16;39;50;;;60
2014-08-31;5;;3;0.4;6;31;8;40;45;;;59
2014-09-01;7;;2;0.4;32;54;13;103;30;;;60
2014-09-04;9;;4;0.4;24;45;16;82;45;;;60
